LABEL,TEXT,URL,EMAIL,PHONE
ham,Do you work all this week ?,No,No,No
smishing,"Dear Sir Your Bank card has been blocked because you did not updated yet, If you want to update your ATM card please contact +971586153091 +971523182746",No,No,Yes
ham,Ugh. Gotta drive back to sd from la. My butt is sore.,No,No,No
ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,No,No,No
ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",No,No,No
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,No,No,Yes
ham,Mode men or have you left.,No,No,No
ham,Goin to workout lor... Muz lose e fats...,No,No,No
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""",No,No,No
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",No,No,No
ham,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)",No,No,No
ham,Yes! How is a pretty lady like you single?,No,No,No
ham,Have you not finished work yet or something?,No,No,No
smishing,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",No,No,Yes
ham,Thats cool. Where should i cum? On you or in you? :),No,No,No
ham,Okay same with me. Well thanks for the clarification,No,No,No
ham,"Just dropped em off, omw back now",No,No,No
ham,Yup i've finished c ü there...,No,No,No
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",No,No,No
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",No,No,No
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,No,No,No
smishing,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,No,No,Yes
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",No,No,Yes
ham,"who is the murderer, coz the man was murdered on  26th January.. As public holiday �",No,No,No
ham,Ü mean it's confirmed... I tot they juz say oni... Ok then...,No,No,No
ham,"Dude u knw also telugu..thts gud..k, gud nyt..",No,No,No
smishing,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription,No,No,No
spam,"	**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270",No,No,Yes
ham,Dont let studying stress you out. L8r.,No,No,No
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,No,No,No
ham,"K I'll head out in a few mins, see you there",No,No,No
smishing,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,No,No,Yes
ham,Which channel:-):-):):-).,No,No,No
ham,Oh yeah! And my diet just flew out the window,No,No,No
ham,You intrepid duo you! Have a great time and see you both soon.,No,No,No
ham,"fyi I'm at usf now, swing by the room whenever",No,No,No
ham,Are you wet right now?,No,No,No
ham,:-( that's not v romantic!,No,No,No
smishing,Win a £1000 cash prize or a prize worth £5000,No,No,No
ham,Those ducking chinchillas,No,No,No
ham,He remains a bro amongst bros,No,No,No
ham,Yes. Nigh you cant aha.,No,No,No
ham,Ok�smart work!!,No,No,No
ham,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),No,No,No
ham,Then what about further plan?,No,No,No
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,No,No,No
smishing,"	Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM",No,No,Yes
ham,I don't know but I'm raping dudes at poker,No,No,No
smishing,"	Call FREEPHONE 0800 542 0578 now!",No,No,No
ham,"Jus chillaxin, what up",No,No,No
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,No,No,No
ham,K..give back my thanks.,No,No,No
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",No,No,No
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,No,No,No
ham,Lol or I could just starve and lose a pound by the end of the day.,No,No,No
smishing,"	Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18call 08718728876",No,No,Yes
ham,You'd like that wouldn't you? Jerk!,No,No,No
ham,Serious? What like proper tongued her,No,No,No
ham,on hen night. Going with a swing,No,No,No
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net,No,No,No
ham,Super da:)good replacement for murali,No,No,No
ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",No,No,No
ham,"Hi, my love! How goes that day? this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",No,No,No
ham,I know you mood off today,No,No,No
ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,No,Yes,No
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",No,No,No
ham,When u wana see it then,No,No,No
smishing,"Urgent Message for CIBC Account Holder, Kindly login to confirm your login information Login to our secure server to check your information http://cibc.mobileupdate.granpianostudio.com/cibcfullz/Internet Support",Yes,No,No
ham,Will you be here for food,No,No,No
ham,No let me do the math. Your not good at it.,No,No,No
ham,No no:)this is kallis home ground.amla home town is durban:),No,No,No
ham,"As in missionary hook up, doggy hook up, standing...|",No,No,No
ham,"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X",No,No,No
ham,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?,No,No,No
ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",No,No,No
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,No,No,No
smishing,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award,No,No,Yes
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",No,No,No
ham,Audrie lousy autocorrect,No,No,No
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",No,No,No
ham,Was it something u ate?,No,No,No
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,No,No,No
ham,What time you thinkin of goin?,No,No,No
ham,Want to finally have lunch today?,No,No,No
smishing,We have identified some unusual activity on your online banking. Please log in via the secure link http:owly/nPyL308KyWG to avoid account suspension,No,No,No
ham,Thanx but my birthday is over already.,No,No,No
ham,The hair cream has not been shipped.,No,No,No
ham,Hanging out with my brother and his family,No,No,No
ham,Where are the garage keys? They aren't on the bookshelf,No,No,No
ham,What Today-..sunday is holiday..so no work..,No,No,No
ham,I'm ok. Will do my part tomorrow,No,No,No
ham,Yes just finished watching days of our lives. I love it.,No,No,No
ham,Cool. I am  &lt;#&gt;  inches long. hope you like them big!,No,No,No
ham,She's borderline but yeah whatever.,No,No,No
ham,He needs to stop going to bed and make with the  dealing,No,No,No
ham,Have you always been saying welp?,No,No,No
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,No,No,No
ham,Yeah that's the impression I got,No,No,No
spam,"	U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795",No,No,Yes
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",No,No,No
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!,No,No,No
ham,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am,No,No,No
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.,No,No,No
ham,I reach home safe n sound liao...,No,No,No
smishing,"	Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub",No,No,No
ham,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,No,No,No
smishing,"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 8927307655 Now! ",No,No,Yes
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,No,No,No
ham,I'm in a movie. Call me 4 wat?,No,No,No
ham,Nope... C ü then...,No,No,No
smishing,"In the Open Lucky Draw Contest And You Are The Winner 0f Tata Saafari (12,60000). Contact-997330199 -2294871295. More Information https://bit.ly/32ZwcQ5",Yes,No,Yes
ham,I will be gentle baby! Soon you will be taking all ..,No,No,No
ham,Hmmm:)how many players selected?,No,No,No
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,No,No,No
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",No,No,No
ham,Its normally hot mail. Com you see!,No,No,No
ham,Dear where you. Call me,No,No,No
ham,Okie..good news!!,No,No,No
ham,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-",No,No,No
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,No,No,No
ham,I love to give massages. I use lots of baby oil... What is your fave position?,No,No,No
ham,I WILL CAL YOU SIR. In meeting,No,No,No
ham,"Cool, I'll text you when I'm on the way",No,No,No
ham,"Solve d Case : A Man Was Found Murdered On  16 April,   AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer..who is it?",No,No,No
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,No,No,No
ham,Hi darlin did youPhone me? Im atHome if youwanna chat.,No,No,No
ham,I'm also came to room.,No,No,No
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,No,No,No
ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,No,No,No
ham,;-) ok. I feel like john lennon.,No,No,No
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",No,No,No
ham,Are you comingdown later?,No,No,No
ham,"Ya tel, wats ur problem..",No,No,No
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,No,No,No
ham,Lol. Well quality aint bad at all so i aint complaining,No,No,No
ham,"Oops I did have it,  &lt;#&gt; ?",No,No,No
ham,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,No,No,No
ham,Dad went out oredi...,No,No,No
ham,Nationwide auto centre (or something like that) on Newport road. I liked them there,No,No,No
ham,Networking technical support associate.,No,No,No
ham,I like dis sweater fr mango but no more my size already so irritating.,No,No,No
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,No,No,No
ham,.Please charge my mobile when you get up in morning.,No,No,No
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/,No,No,No
ham,Good morning pookie pie! Lol hope I didn't wake u up,No,No,No
ham,Lolnice. I went from a fish to ..water.?,No,No,No
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,No,No,No
ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,No,No,No
ham,Hope you are ENJOYING a great day.,No,No,No
smishing,"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",No,No,Yes
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,No,No,No
ham,Its sarcasm.. .nt scarcasim,No,No,No
ham,Si si. I think ill go make those oreo truffles.,No,No,No
ham,U 2.,No,No,No
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..,No,No,No
ham,"Alright, see you in a bit",No,No,No
ham,O we cant see if we can join denis and mina? Or does denis want alone time,No,No,No
ham,"Y cant u try new invention to fly..i'm not joking.,",No,No,No
smishing,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,No,No,Yes
ham,"No, but you told me you were going, before you got drunk!",No,No,No
ham,I dont understand your message.,No,No,No
ham,Yup... How ü noe leh...,No,No,No
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,No,No,No
ham,Already am squatting is the new way of walking,No,No,No
ham,"Sorry, I'll call later�buzy",No,No,No
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",No,No,No
smishing,"	A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345",Yes,No,No
smishing,You have been randomly selected for a BestBuy gift. Get your $1000 gift card at www.bestbuy.com.your-a-winner.net/?id-ichrfcycylck,No,Yes,No
ham,"That's what I love to hear :V see you sundayish, then",No,No,No
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,No,No,No
ham,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",No,No,No
smishing,"As a valued customer, I am pleased to advise you that following recent review of your Mobile No. you are awarded with a Rs.7,00,000 Bonus Prize, call 8927307655",No,No,Yes
ham,These won't do. Have to move on to morphine,No,No,No
ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",No,No,No
ham,I can do that! I want to please you both inside and outside the bedroom...,No,No,No
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,No,No,No
ham,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,No,No,No
spam,"	FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242",No,No,Yes
smishing,"	You have 1 new voicemail. Please call 08719181503",No,No,Yes
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",No,No,No
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u,No,No,No
ham,Ha ha ha good joke. Girls are situation seekers.,No,No,No
ham,At 4. Let's go to bill millers,No,No,No
ham,We'll join the  &lt;#&gt;  bus,No,No,No
smishing,"To cancel this order you should visit http/aetacms.com/.cas/auo.html/redirect-aopis.it�to review your details. if you need additional help, contact Apple Support.",No,No,No
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,No,No,No
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,No,No,Yes
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,No,Yes,No
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!,No,No,No
ham,"SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP...",No,No,No
smishing,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,No,No,Yes
ham,Sac needs to carry on:),No,No,No
ham,I uploaded mine to Facebook,No,No,No
ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",No,No,No
ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",No,No,No
ham,I'm vivek:)i got call from your number.,No,No,No
ham,I havent add ü yet right..,No,No,No
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,No,No,No
smishing,"	Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",No,No,Yes
smishing,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,No,No,Yes
ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",No,No,No
ham,You still at the game?,No,No,No
ham,It certainly puts things into perspective when something like this happens,No,No,No
ham,Its just the effect of irritation. Just ignore it,No,No,No
spam,"Plots available at greater noida near pari chowk, regn ok. @ 2600/-per gauge.booking  starts with 30000/-onwards or full down.instalments also.call 9213241451.",No,No,Yes
ham,I accidentally deleted the message. Resend please.,No,No,No
ham,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-),No,No,No
ham,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",No,No,No
ham,U can call now...,No,No,No
ham,I like to talk pa but am not able to. I dont know y.,No,No,No
ham,Oi when you gonna ring,No,No,No
ham,Kent vale lor... Ü wait 4 me there ar?,No,No,No
ham,Thanx 4 e brownie it's v nice...,No,No,No
smishing,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003092 from land line. Claim C52. Valid 12hrs only,No,No,Yes
ham,Ok... C ya...,No,No,No
ham,"Ever green  ""A Person Who Irritates u Always Is the one Who Loves u Vry Much!!",No,No,No
ham,As per your request 'Maangalyam (Thirupathe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,No,No,No
ham,He  chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,No,No,No
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,No,No,No
ham,K.k.this month kotees birthday know?,No,No,No
ham,That is wondar full flim.,No,No,No
spam,88800 and 89034 are premium phone services call 08718711108,No,No,Yes
ham,Why nothing. Ok anyway give me treat,No,No,No
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",No,No,No
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming,No,No,No
ham,Oh yah... We never cancel leh... Haha,No,No,No
ham,Reckon need to be in town by eightish to walk from * carpark.,No,No,No
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",No,No,No
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,No,No,No
ham,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",No,No,No
ham,You busy or can I come by at some point and figure out what we're doing tomorrow,No,No,No
ham,Mum not going robinson already.,No,No,No
ham,What's a feathery bowa? Is that something guys have that I don't know about?,No,No,No
ham,i see. When we finish we have loads of loans to pay,No,No,No
ham,Lol that's different. I don't go trying to find every real life photo you ever took.,No,No,No
smishing,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call  on 08002986905,No,No,Yes
ham,I will come to ur home now,No,No,No
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!,No,No,No
ham,"Sorry da thangam, very very sorry i am held up with prasad.",No,No,No
ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ",No,No,No
ham,I'm in class. Did you get my text.,No,No,No
ham,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,No,No,No
ham,Sorry de i went to shop.,No,No,No
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,No,No,No
ham,"Night night, see you tomorrow",No,No,No
ham,Hey i will be late ah... Meet you at 945+,No,No,No
ham,Then she buying today? Ü no need to c meh...,No,No,No
smishing,"	Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",Yes,No,No
ham,But pls dont play in others life.,No,No,No
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,No,No,No
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,No,No,No
ham,"Haha good to hear, I'm officially paid and on the market for an 8th",No,No,No
ham,Huh? 6 also cannot? Then only how many mistakes?,No,No,No
ham,Where is it. Is there any opening for mca.,No,No,No
ham,I am not having her number sir,No,No,No
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?,No,No,No
ham,I'm really not up to it still tonight babe,No,No,No
ham,But really quite funny lor wat... Then u shd haf run shorter distance wat...,No,No,No
ham,"Sorry, I'll call later..hav eto go..",No,No,No
smishing,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",No,No,Yes
ham,Waiting in e car 4 my mum lor. U leh? Reach home already?,No,No,No
ham,Badrith is only for chennai:)i will surely pick for us:)no competition for him.,No,No,No
ham,But if she.s drinkin i'm ok.,No,No,No
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,No,No,No
ham,Convey my regards to him�all the best..,No,No,No
ham,"Haha awesome, be there in a minute",No,No,No
ham,What is the plural of the noun research?,No,No,No
ham,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,No,No,No
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes and fills those gaps by holding your hand with CARE..!",No,No,No
ham,Exactly. Anyways how far. Is jide her to study or just visiting,No,No,No
ham,So what do you guys do.,No,No,No
smishing,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,No,No,Yes
smishing,"	Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery",No,No,Yes
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,No,No,No
smishing,You are a winner U have been specially selected 2 receive £2000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910,No,No,Yes
ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",No,No,No
ham,New car and house for my parents.:)i have only new job in hand:),No,No,No
ham,Where in abj are you serving. Are you staying with dad or alone.,No,No,No
ham,Shuhui has bought ron's present it's a swatch watch...,No,No,No
smishing,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,No,No,Yes
ham,Aight sorry I take ten years to shower. What's the plan?,No,No,No
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,No,No,No
ham,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,No,No,No
ham,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,No,No,No
smishing,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call 6299257179. Claim Code FLIP02. Valid 12hrs only. ",No,No,Yes
ham,:),No,No,No
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",No,No,No
ham,"Haha awesome, omw back now then",No,No,No
